stage,model,mode,id,truth,prediction,path
validation,openai/gpt-4.1-mini,zero-shot,validation_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-13R_Img4_A80_S4_[13][5].png
validation,openai/gpt-4.1-mini,zero-shot,validation_CR_002,CR,LP,DB - Copy/validation/Difetto1/RRT-13R_Img1_A80_S4_[16][4].png
validation,openai/gpt-4.1-mini,zero-shot,validation_CR_004,CR,LP,DB - Copy/validation/Difetto1/RRT-99R_Img3_A80_S5_[18][14].png
validation,openai/gpt-4.1-mini,zero-shot,validation_LP_003,LP,ND,DB - Copy/training/Difetto4/RRT-24R_Img3_A80_S7_[5][34].png
validation,openai/gpt-4.1-mini,zero-shot,validation_PO_002,PO,ND,DB - Copy/validation/Difetto2/RRT-107R_Img2_A80_S4_[9][13].png
validation,openai/gpt-4.1-mini,four-shot,validation_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-13R_Img4_A80_S4_[13][5].png
validation,openai/gpt-4.1-mini,four-shot,validation_CR_002,CR,LP,DB - Copy/validation/Difetto1/RRT-13R_Img1_A80_S4_[16][4].png
validation,openai/gpt-4.1-mini,four-shot,validation_CR_004,CR,LP,DB - Copy/validation/Difetto1/RRT-99R_Img3_A80_S5_[18][14].png
validation,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,validation_CR_002,CR,LP,DB - Copy/validation/Difetto1/RRT-13R_Img1_A80_S4_[16][4].png
validation,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,validation_CR_004,CR,ND,DB - Copy/validation/Difetto1/RRT-99R_Img3_A80_S5_[18][14].png
validation,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,validation_LP_001,LP,ND,DB - Copy/validation/Difetto4/bam5_Img2_A80_S2_[6][20].png
validation,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,validation_LP_002,LP,ND,DB - Copy/testing/Difetto4/bam5_Img2_A80_S7_[11][5].png
validation,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,validation_LP_003,LP,ND,DB - Copy/training/Difetto4/RRT-24R_Img3_A80_S7_[5][34].png
validation,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,validation_LP_004,LP,ND,DB - Copy/validation/Difetto4/bam5_Img4_A80_S7_[12][32].png
validation,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,validation_PO_004,PO,ND,DB - Copy/training/Difetto2/RRT-107R_Img1_A80_S4_[9][23].png
validation,qwen/qwen3-vl-30b-a3b-instruct,four-shot,validation_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-13R_Img4_A80_S4_[13][5].png
validation,qwen/qwen3-vl-30b-a3b-instruct,four-shot,validation_CR_002,CR,LP,DB - Copy/validation/Difetto1/RRT-13R_Img1_A80_S4_[16][4].png
validation,qwen/qwen3-vl-30b-a3b-instruct,four-shot,validation_CR_003,CR,LP,DB - Copy/training/Difetto1/RRT-13R_Img1_A80_S4_[16][49].png
validation,qwen/qwen3-vl-30b-a3b-instruct,four-shot,validation_CR_004,CR,ND,DB - Copy/validation/Difetto1/RRT-99R_Img3_A80_S5_[18][14].png
validation,qwen/qwen3-vl-30b-a3b-instruct,four-shot,validation_LP_003,LP,PO,DB - Copy/training/Difetto4/RRT-24R_Img3_A80_S7_[5][34].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_CR_001,CR,ND,DB - Copy/training/Difetto1/RRT-13R_Img4_A80_S4_[13][5].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_CR_002,CR,LP,DB - Copy/validation/Difetto1/RRT-13R_Img1_A80_S4_[16][4].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_CR_003,CR,ND,DB - Copy/training/Difetto1/RRT-13R_Img1_A80_S4_[16][49].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_CR_004,CR,ND,DB - Copy/validation/Difetto1/RRT-99R_Img3_A80_S5_[18][14].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_LP_001,LP,ND,DB - Copy/validation/Difetto4/bam5_Img2_A80_S2_[6][20].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_LP_002,LP,ND,DB - Copy/testing/Difetto4/bam5_Img2_A80_S7_[11][5].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_LP_004,LP,ND,DB - Copy/validation/Difetto4/bam5_Img4_A80_S7_[12][32].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_PO_001,PO,ND,DB - Copy/validation/Difetto2/RRT-107R_Img4_A80_S4_[7][26].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_PO_002,PO,ND,DB - Copy/validation/Difetto2/RRT-107R_Img2_A80_S4_[9][13].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_PO_003,PO,ND,DB - Copy/validation/Difetto2/RRT-107R_Img3_A80_S4_[19][8].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_PO_004,PO,ND,DB - Copy/training/Difetto2/RRT-107R_Img1_A80_S4_[9][23].png
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,validation_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-13R_Img4_A80_S4_[13][5].png
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,validation_CR_002,CR,LP,DB - Copy/validation/Difetto1/RRT-13R_Img1_A80_S4_[16][4].png
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,validation_CR_004,CR,ND,DB - Copy/validation/Difetto1/RRT-99R_Img3_A80_S5_[18][14].png
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,validation_LP_001,LP,ND,DB - Copy/validation/Difetto4/bam5_Img2_A80_S2_[6][20].png
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,validation_LP_002,LP,ND,DB - Copy/testing/Difetto4/bam5_Img2_A80_S7_[11][5].png
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,validation_LP_003,LP,ND,DB - Copy/training/Difetto4/RRT-24R_Img3_A80_S7_[5][34].png
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,validation_LP_004,LP,ND,DB - Copy/validation/Difetto4/bam5_Img4_A80_S7_[12][32].png
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,validation_PO_002,PO,CR,DB - Copy/validation/Difetto2/RRT-107R_Img2_A80_S4_[9][13].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_001,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[6][42].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_002,CR,ND,DB - Copy/training/Difetto1/RRT-97R_Img1_A80_S2_[2][5].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_003,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img3_A80_S1_[3][71].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_004,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[11][16].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_005,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[11][15].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_006,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img1_A80_S8_[5][4].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_007,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[12][17].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_008,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][61].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_009,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img3_A80_S4_[30][10].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_010,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img2_A80_S1_[7][17].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_011,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img2_A80_S8_[21][6].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_012,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img3_A80_S4_[17][9].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_013,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][50].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_014,CR,ND,DB - Copy/validation/Difetto1/RRT-102R_Img1_A80_S5_[15][4].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_015,CR,ND,DB - Copy/validation/Difetto1/RRT-102R_Img2_A80_S5_[13][6].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_016,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img1_A80_S1_[2][44].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_017,CR,ND,DB - Copy/validation/Difetto1/RRT-102R_Img4_A80_S5_[13][5].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_018,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img3_A80_S2_[27][35].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_019,CR,ND,DB - Copy/validation/Difetto1/RRT-23R_Img2_A80_S2_[10][1].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_CR_020,CR,ND,DB - Copy/validation/Difetto1/RRT-105R_Img4_A80_S1_[5][14].png
